id,name,did,fid,sid,works_count
T14423,Military Technology and Strategies,D1,F1,S1,22340715
T10346,Magnetic confinement fusion research,D1,F2,S17,9280806
T13370,Diverse Scientific and Economic Studies,D2,F11,S89,5039376
T12157,Geochemistry and Geologic Mapping,D1,F3,S25,3956018
T10451,Mycorrhizal Fungi and Plant Interactions,D3,F17,S146,3217148
T10978,Prenatal Screening and Diagnostics,D4,F22,S188,1675179
T11367,Particle accelerators and beam dynamics,D1,F1,S1,1474340
T10895,Species Distribution and Climate Change,D1,F4,S36,1385571
T12859,Cell Image Analysis Techniques,D3,F18,S157,1177656
T12692,Magnetic Field Sensors Techniques,D1,F1,S2,1017975
T13497,Hermeneutics and Narrative Identity,D2,F12,S92,1013471
T13638,Human auditory perception and evaluation,D1,F1,S1,996977
T10781,Plasma Diagnostics and Applications,D1,F1,S2,980622
T12760,Laser Design and Applications,D1,F1,S2,870962
T11881,Crystallization and Solubility Studies,D1,F5,S46,778799
T11893,German Literature and Culture Studies,D2,F12,S93,772884
T10384,Laser-Plasma Interactions and Diagnostics,D1,F2,S17,725876
T11475,French Urban and Social Studies,D2,F13,S105,709104
T11803,Superconducting and THz Device Technology,D1,F2,S18,626954
T10015,Genomics and Phylogenetic Studies,D3,F18,S158,568756
T10165,Classical Antiquity Studies,D2,F13,S106,566994
T11044,Particle Detector Development and Performance,D1,F2,S17,560024
T10733,Wheat and Barley Genetics and Pathology,D3,F17,S146,555220
T10941,Musicology and Musical Analysis,D2,F12,S94,554527
T14380,Libraries and Information Services,D2,F12,S95,553660
T12837,American Environmental and Regional History,D1,F4,S37,541895
T11175,Gyrotron and Vacuum Electronics Research,D1,F2,S19,540851
T11662,Legal Cases and Commentary,D4,F22,S189,522867
T13958,"Education, Innovation and Language Studies",D2,F13,S107,517408
T11926,Subterranean biodiversity and taxonomy,D1,F6,S54,513287
T13445,American Constitutional Law and Politics,D2,F13,S108,494964
T10591,Theoretical and Computational Physics,D1,F2,S20,488954
T10048,Particle physics theoretical and experimental studies,D1,F2,S17,473528
T10251,Solar and Space Plasma Dynamics,D1,F2,S18,473036
T13085,"Education, Psychology, and Social Research",D2,F13,S107,469395
T10744,Astrophysical Phenomena and Observations,D1,F2,S18,468744
T11986,Scientific Computing and Data Management,D2,F14,S126,466698
T12565,Physics and Engineering Research Articles,D1,F1,S3,447298
T10252,Microbial Natural Products and Biosynthesis,D4,F22,S185,429310
T11974,Lepidoptera: Biology and Taxonomy,D3,F18,S159,417587
T13650,Computational Physics and Python Applications,D1,F3,S25,412872
T10362,Biblical Studies and Interpretation,D2,F12,S96,405873
T12633,Legal case studies and regulations,D2,F13,S108,403692
T12930,Biomedical and Chemical Research,D4,F22,S190,397668
T10017,Geology and Paleoclimatology Research,D1,F6,S55,395476
T10893,Chinese history and philosophy,D2,F13,S105,393878
T12409,Reformation and Early Modern Christianity,D2,F12,S97,391570
T10885,Gene expression and cancer classification,D3,F18,S158,389095
T10001,Geological and Geochemical Analysis,D1,F6,S56,378130
T11937,Research Data Management Practices,D1,F3,S26,372757
T11993,Atomic and Subatomic Physics Research,D1,F2,S19,365063
T12713,Forest Ecology and Biodiversity Studies,D3,F17,S147,364734
T12552,Fetal and Pediatric Neurological Disorders,D4,F22,S188,364560
T13167,"Historical, Literary, and Cultural Studies",D2,F12,S98,361875
