id,name,works_count
T12639,Global Energy and Sustainability Research,180540
T10078,Advanced Photocatalysis Techniques,157811
T10030,Electrocatalysts for Energy Conversion,154458
T10476,Algal biology and biofuel production,125273
T13870,Environmental and Ecological Studies,113435
T10024,TiO2 Photocatalysis and Solar Cells,93267
T10905,Solar Thermal and Photovoltaic Systems,78094
T12617,"Energy, Environment, and Transportation Policies",74670
T13691,"Energy, Environment, Agriculture Analysis",73525
T10468,Photovoltaic System Optimization Techniques,72946
T12271,Renewable energy and sustainable power systems,61451
T11954,Energy Efficiency and Management,58738
T11877,Iron oxide chemistry and applications,55219
T11225,Geothermal Energy Systems and Applications,52137
T14481,Renewable Energy and Sustainability,41085
T11784,CO2 Reduction Techniques and Catalysts,38947
T12008,Solar-Powered Water Purification Methods,38361
T11626,Metalloenzymes and iron-sulfur proteins,37102
T14224,"Oil, Gas, and Environmental Issues",18139
T13746,Mechanical Systems and Engineering,12190
T13331,Energy and Environmental Sustainability,2942
T13975,"Energy, Economy, and Technology Trends",2361
